what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.editor",1329400371892
stopped,bundle,org.eclipse.emf.ecoretools.properties,0.8.0.v20100521-2009,"org.eclipse.emf.ecoretools.properties",1329400371892
stopped,bundle,org.eclipse.emf.ecoretools.tabbedproperties,0.8.0.v20100521-2009,"org.eclipse.emf.ecoretools.tabbedproperties",1329400371895
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.5.0.v20100521-1847,"org.eclipse.emf.mapping.ecore2xml.ui",1329400371896
stopped,bundle,org.eclipse.emf.mapping.xsd2ecore.editor,2.6.0.v20100521-1855,"org.eclipse.emf.mapping.xsd2ecore.editor",1329400371896
stopped,bundle,org.eclipse.emf.mapping.ui,2.6.0.v20100914-1218,"org.eclipse.emf.mapping.ui",1329400371896
stopped,bundle,org.eclipse.emf.transaction.ui,1.4.0.v20090819-1300,"org.eclipse.emf.transaction.ui",1329400371899
stopped,bundle,org.eclipse.emf.workspace.ui,1.3.0.v200901271819,"org.eclipse.emf.workspace.ui",1329400371902
stopped,bundle,org.eclipse.uml2.uml.editor,3.1.0.v201005031530,"org.eclipse.uml2.uml.editor",1329400371902
stopped,bundle,de.fzi.gast.editor,1.0.0.201108090525NGT,"de.fzi.gast.editor",1329400371903
stopped,bundle,de.fzi.gast.expressions.editor,1.0.0.201108090525NGT,"de.fzi.gast.expressions.editor",1329400371903
stopped,bundle,de.fzi.gast.metricresults.editor,1.0.0.201108090525NGT,"de.fzi.gast.metricresults.editor",1329400371903
stopped,bundle,de.uka.ipd.sdq.dialogs,2.0.1.201101110859NGT,"de.uka.ipd.sdq.dialogs",1329400371906
stopped,bundle,org.reclipse.examples,1.0.0.201108081528,"org.reclipse.examples",1329400371907
stopped,bundle,org.reclipse.generator.ui,1.0.0.201108081528,"org.reclipse.generator.ui",1329400371907
stopped,bundle,org.reclipse.structure.specification.editor,1.0.0.201108081528,"org.reclipse.structure.specification.editor",1329400371907
stopped,bundle,org.reclipse.structure.specification.ui,1.0.0.201108081528,"org.reclipse.structure.specification.ui",1329400371907
stopped,bundle,org.reclipse.structure.specification.edit,1.0.0.201108081528,"org.reclipse.structure.specification.edit",1329400371907
stopped,bundle,org.reclipse.metrics,1.0.0.201108081528,"org.reclipse.metrics",1329400371907
stopped,bundle,org.reclipse.structure.inference.annotations,1.0.0.201108081528,"org.reclipse.structure.inference.annotations",1329400371907
stopped,bundle,org.reclipse.structure.specification.navigator,1.0.0.201108081528,"org.reclipse.structure.specification.navigator",1329400371907
stopped,bundle,org.reclipse.structure.specification,1.0.0.201108081528,"org.reclipse.structure.specification",1329400371907
stopped,bundle,org.fujaba.commons,1.0.0.201108081528,"org.fujaba.commons",1329400371908
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1329400371908
